Ticker,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
CELC,5.8718,5.798,0.32,Sell,92522,60416712,,-0.804,27,Commercial Services
CELH,19.46,0.206,0.04,Buy,10569336,1393244538,728.92,0.03,120,Consumer Non-Durables
CELP,2.21,-8.678,-0.21,Sell,664487,26982553,17.657,0.317,,Commercial Services
CEMI,4.35,6.098,0.25,Sell,34280213,87702525,,-1.149,324,Health Technology
CENT,36.24,-10.936,-4.45,Buy,1228967,1982238197,18.421,2.037,5800,Consumer Non-Durables
CENTA,33.35,-10.253,-3.81,Buy,3529209,1824162359,16.968,2.037,5800,Consumer Non-Durables
CENX,7.49,-24.113,-2.38,Sell,22835901,670241152,,-0.618,2079,Non-Energy Minerals
CEQP,11.98,-11.782,-1.6,Strong Sell,11368491,881731462,,-0.914,894,Industrial Services
CERC,2.33,-5.285,-0.13,Sell,7749193,174517000,,,18,Health Technology
CERN,67.73,-7.687,-5.64,Sell,28442771,20683522860,41.403,1.671,27400,Technology Services
CERS,5.89,-7.535,-0.48,Buy,21388599,978747190,,-0.441,254,Health Technology
CETV,4.21,1.568,0.07,Buy,6610344,1071861790,15.463,0.275,2550,Consumer Services
CETX,1.11,-16.541,-0.22,Sell,14707984,18585063,,,297,Electronic Technology
CEVA,36.64,-13.278,-5.61,Buy,2764679,811898432,547.178,0.073,382,Electronic Technology
CF,30.92,-5.241,-1.71,Sell,37468462,6613169600,17.908,1.75,3000,Process Industries
CFB,8,-13.326,-1.23,Neutral,3852341,417509600,65.177,0.134,357,Finance
CFBI,7.66,16.768,1.1,Sell,47609,57992328,,-0.013,81,Finance
CFBK,11.545,4.955,0.55,Sell,53183,61252690,3.89,2.951,125,Finance
CFFA,10.39,0.29,0.03,Buy,8049017,367071458,167.2,0.063,4,Finance
CFFI,29.05,-9.134,-2.92,Sell,89387,105991540,6.378,4.706,643,Finance
CFFN,8.77,-6.103,-0.57,Sell,10712255,1241095320,17.953,0.498,773,Finance
CFG,23.95,-7.422,-1.92,Sell,131036163,10222554550,9.809,2.507,5700,Finance
CFMS,0.8592,21.014,0.15,Sell,6498713,66635686,,-0.388,271,Health Technology
CFR,62.44,-10.107,-7.02,Sell,5868295,3915044196,11.414,5.57,4659,Finance
CFRX,5.24,-4.205,-0.23,Sell,4403633,145720732,,-3.164,24,Health Technology
CFX,30.16,-9.375,-3.12,Buy,17276502,3570612240,,-0.055,15000,Producer Manufacturing
CG,24.07,-6.742,-1.74,Sell,17977074,8393064580,,-0.814,1775,Finance
CGA,2.42,-4.724,-0.12,Sell,163966,15367000,,-16.011,,Process Industries
CGBD,9.06,2.838,0.25,Sell,3866221,510155916,,-0.827,,Finance
CGC,14.6,-11.622,-1.92,Sell,54956459,5420571200,,-4,4434,Process Industries
CGEN,16.3,-5.726,-0.99,Buy,30570180,1350565840,,-0.373,61,Health Technology
CGIX,3.85,-28.305,-1.52,Sell,3284660,8884299,,-4.669,110,Health Technology
CGNX,60.6,-12.415,-8.59,Buy,13587645,10486648200,77.064,0.824,2267,Electronic Technology
CGRO,9.8,-0.305,-0.03,,1701989,186322500,,,,Finance
CHAQ,9.836,0.367,0.04,,185852,106015359,,,2,Finance
CHCI,2.2,-11.647,-0.29,Sell,528502,17772722,8.017,0.28,109,Consumer Durables
CHCO,55.37,-13.457,-8.61,Sell,1168259,887592174,9.928,5.654,918,Finance
CHD,91.61,-4.404,-4.22,Buy,21281230,22656252320,31.933,2.932,4800,Consumer Non-Durables
CHDN,164.44,-5.905,-10.32,Buy,4075858,6484543404,,-3.129,5500,Consumer Services
CHE,474.46,-8.248,-42.65,Buy,1194227,7553023632,30.299,16.438,16641,Health Services
CHEF,13.98,-5.604,-0.83,Sell,17025013,528409050,,-0.527,2447,Distribution Services
CHEK,0.34,-13.815,-0.05,Sell,42035897,15718880,,-1.355,64,Health Technology
CHFS,0.3087,-15.931,-0.06,Sell,100355522,13923049,,-3.297,66,Health Technology
CHGG,69.95,-5.14,-3.79,Buy,44959049,8695764300,136980,0.011,1401,Commercial Services
CHH,86.27,-13.113,-13.02,Buy,6428808,4776329923,29.169,3.074,1807,Consumer Services
CHKP,118.55,-6.106,-7.71,Buy,18353374,16620710000,21.094,5.741,5152,Technology Services
CHMA,4.53,-17.486,-0.96,Sell,8072232,261844419,,-1.351,48,Health Technology
CHMG,27.52,-4.145,-1.19,Sell,117322,131545875,9.884,2.974,362,Finance
CHNG,13.85,-2.12,-0.3,Strong Buy,48646498,4214513450,,-5.142,15000,Technology Services
CHNR,1.09,-10.656,-0.13,Strong Sell,10187025,37047029,5500,0,10,Distribution Services
CHPM,10.07,-1.516,-0.16,,650100,377625000,284.314,0.036,3,Finance
CHRA,2.93,12.261,0.32,Buy,259018,87858394,,-1.349,1461,Industrial Services
CHRS,18.19,-4.112,-0.78,Buy,16518209,1300046576,8.273,2.566,291,Health Technology
CHRW,101.17,2.92,2.87,Buy,24652277,13640042910,29.9,3.449,15427,Transportation
CHS,1.01,-21.094,-0.27,Sell,26760590,121090920,,-2.058,17100,Retail Trade
CHTR,616.35,0.12,0.74,Buy,17373752,1.26289E+11,59.709,10.757,95100,Consumer Services
CHUY,19.12,-14.029,-3.12,Sell,4351928,376470888,,-0.685,9000,Consumer Services
CHWY,54.99,-9.956,-6.08,Buy,111258950,22637494423,,-0.549,12000,Retail Trade
CHX,8.21,-19.824,-2.03,Sell,28430714,1640431890,,-9.023,3000,Process Industries
CI,160.5,-9.511,-16.87,Sell,36730790,58935760500,11.509,14.189,73700,Health Services
CIA,5.18,-11.453,-0.67,Sell,1386155,274496783,115.385,0.048,444,Finance
CIDM,0.5675,-35.511,-0.31,Sell,156435349,69034673,,-0.425,72,Commercial Services
CIEN,39.29,-30.791,-17.48,Sell,71915766,6063232800,17.03,2.441,6383,Electronic Technology
CIGI,60.72,-4.136,-2.62,Sell,1247679,2428726772,36.335,1.747,15250,Finance
CIIC,10.02,0.502,0.05,,966561,388901250,,,,Finance
CINF,74.95,-5.616,-4.46,Sell,13765407,12056007300,22.62,3.449,5148,Finance
CINR,12.1,21.608,2.15,Sell,406018,239184330,8.259,1.462,497,Non-Energy Minerals
CIR,25.45,-14.165,-4.2,Sell,1927749,508928740,,-10.178,4000,Producer Manufacturing
CIT,16.19,-17.692,-3.48,Sell,25097773,1593865025,,-4.609,3609,Finance
CIVB,11.36,-14.906,-1.99,Sell,768132,182362080,6.48,1.85,457,Finance
CIX,13.8,0.73,0.1,Sell,155750,171826560,13.05,1.081,547,Producer Manufacturing
CIZN,19.7,-8.073,-1.73,Sell,88205,110051686,18.511,1.097,290,Finance
CJJD,0.9575,-11.343,-0.12,Sell,6623631,36348424,,-0.118,1074,Retail Trade
CKH,28.14,-10.978,-3.47,Sell,1283081,572356344,41.283,0.703,2309,Industrial Services
CKPT,2.88,32.11,0.7,Buy,39626304,172912896,,-0.526,8,Health Technology
CKX,9.83,-3.438,-0.35,Buy,23512,19089860,47.17,0.201,1,Miscellaneous
CL,75.14,-5.198,-4.12,Buy,52382969,64425036000,25.417,2.999,34300,Consumer Non-Durables
CLAR,13.6,8.022,1.01,Buy,2104659,406479520,33.81,0.44,500,Consumer Durables
CLB,16.54,-20.975,-4.39,Sell,7476867,735770322,,-1.988,4300,Industrial Services
CLBK,10.66,-0.094,-0.01,Sell,3956122,1182183340,24.377,0.449,698,Finance
CLBS,1.7,-12.371,-0.24,Sell,7430298,32849270,,-0.818,27,Distribution Services
CLCT,50.08,12.565,5.59,Buy,2280014,462734693,44.057,1.201,515,Consumer Services
CLDB,15.48,10.571,1.48,Sell,170082,65374362,9.599,1.674,164,Finance
CLDR,11.01,-16.654,-2.2,Buy,129427091,3404820480,,-0.827,2723,Technology Services
CLDX,12.23,2.429,0.29,Buy,10801383,478517095,,-2.607,130,Health Technology
CLEU,5.95,2.058,0.12,,1353562,37683314,,,98,Commercial Services
CLF,5.87,-10.79,-0.71,Sell,155222493,2343292260,82.051,0.084,2372,Non-Energy Minerals
CLFD,18.83,6.989,1.23,Buy,2430137,256973010,43.676,0.454,240,Electronic Technology
CLGX,67.31,1.37,0.91,Buy,14714438,5348351635,37.528,1.842,5100,Technology Services
CLH,53.38,-12.635,-7.72,Sell,5027160,2969967116,30.079,1.814,14400,Industrial Services
CLIR,2.27,-0.873,-0.02,Buy,2865186,65787551,,-0.265,15,Electronic Technology
CLMT,2.75,7.843,0.2,Sell,2383596,214518700,,-0.675,1500,Process Industries
CLNE,2.43,-7.955,-0.21,Buy,27889982,482819130,16.656,0.154,412,Utilities
CLPS,2.85,-20.833,-0.75,Sell,828686,45364305,82.421,0.035,2085,Technology Services
CLPT,5.4,23.007,1.01,Buy,1833788,84949560,,-0.429,21,Health Technology
CLR,12.56,-26.892,-4.62,Sell,51550806,4586020240,,-0.222,1260,Energy Minerals
CLRB,1.2,0.84,0.01,Sell,5699758,31951920,,-1.459,8,Health Technology
CLRO,2.44,-7.224,-0.19,Buy,5033188,45801972,,-0.465,127,Electronic Technology
CLS,6.88,-13.459,-1.07,Sell,6168917,887891520,,-0.025,,Electronic Technology
CLSD,1.53,-11.047,-0.19,Sell,3146231,70903566,,-0.436,33,Health Technology
CLSK,11.52,14.286,1.44,Buy,54830714,199921536,,-4.888,20,Miscellaneous
CLSN,0.7277,-21.117,-0.19,Sell,11692932,24183217,,-0.761,29,Health Technology
CLUB,0.2,-66.107,-0.39,Strong Sell,48813420,5943020,,-5.599,9200,Consumer Services
CLVS,5.97,14.587,0.76,Sell,95192460,526571910,,-6.067,484,Health Technology
CLW,34.85,3.535,1.19,Buy,2525674,577527230,24.293,1.454,3290,Process Industries
CLWT,2.46,-2.09,-0.05,Sell,275266,7608436,,-0.047,50,Electronic Technology
CLX,212.23,-5.043,-11.27,Buy,25613929,26786397220,28.872,7.459,8800,Consumer Non-Durables
CLXT,5.41,-0.46,-0.03,Sell,1366293,179527063,,-1.36,75,Commercial Services
CM,75.83,-4.436,-3.52,Buy,6638669,33820862470,11.925,6.431,45157,Finance
CMA,36.44,-7.817,-3.09,Sell,25860947,5066581160,8.881,4.197,7948,Finance
CMBM,16.23,24.368,3.18,Buy,1936676,416896764,142.846,0.132,533,Electronic Technology
CMC,19.8,-5.127,-1.07,Buy,17122230,2357566200,7.883,2.513,11524,Non-Energy Minerals
CMCL,16.03,-11.826,-2.15,Buy,1443017,172322500,8.47,2.035,,Non-Energy Minerals
CMCO,32.06,-11.863,-4.32,Sell,1502256,763028000,21.399,1.611,2997,Producer Manufacturing
CMCSA,45.36,1.227,0.55,Buy,344630327,2.07209E+11,18.52,2.526,190000,Consumer Services
CMD,42.66,-18.712,-9.82,Sell,6723542,1798302438,107.521,,,Health Technology
CME,162.35,-7.687,-13.52,Sell,27629222,58223115854,25.137,6.645,4360,Finance
CMG,1248.39,-4.723,-61.89,Buy,6252287,34914472164,137.014,9.199,83000,Consumer Services
CMI,203.01,-2.046,-4.24,Buy,16560749,29979704760,18.209,11.263,61615,Producer Manufacturing
CMLS,4.66,-6.237,-0.31,Sell,1534416,91835039,,-1.248,4732,Consumer Services
CMP,55.47,-2.565,-1.46,Buy,3351859,1882890321,20.361,2.789,3131,Process Industries
CMPI,9.55,-38.703,-6.03,,1705499,205770030,,,22,Health Technology
CMPR,70.215,-24.256,-22.49,Sell,2953610,1825842774,29.146,2.824,13000,Commercial Services
CMRE,5.19,2.772,0.14,Sell,11386642,629780550,,-0.007,1840,Transportation
CMRX,3,6.762,0.19,Buy,8268956,186600600,,-1.649,43,Health Technology
CMS,59.57,-1.521,-0.92,Neutral,32960384,17053759170,22.985,2.656,8789,Utilities
CMT,9.19,50.656,3.09,Buy,829917,73201015,,-0.792,1821,Producer Manufacturing
CMTL,13.87,-16.446,-2.73,Sell,3626981,343031453,29.865,0.495,2013,Electronic Technology
CNA,29.68,-7.74,-2.49,Sell,5225587,8054588080,17.57,1.731,5900,Finance
CNBKA,63.85,-9.368,-6.6,Sell,161191,294456407,10.555,8.794,460,Finance
CNC,54.94,-10.404,-6.38,Sell,61602312,31836081800,18.998,2.902,56600,Health Services
CNCE,9.81,1.975,0.19,Buy,2000494,291142161,,-2.697,70,Health Technology
CNDT,3.075,-9.024,-0.31,Sell,36499753,643376100,,-3.351,67000,Commercial Services
CNET,1.25,-12.587,-0.18,Sell,4804973,27177375,,-0.149,,Commercial Services
CNFR,2.96,3.316,0.1,Sell,70125,28410554,,-0.78,147,Finance
CNHI,7.5,-5.063,-0.4,Sell,39754463,10233000000,9.844,0.767,63499,Producer Manufacturing
CNI,104.88,0.287,0.3,Buy,9865532,74454312000,28.323,3.723,25975,Transportation
CNK,10.5,-28.328,-4.15,Sell,127192139,1235577000,,-1.467,22000,Consumer Services
CNMD,73.42,-14.935,-12.89,Sell,4585326,2097712188,,0.02,3300,Health Technology
CNNB,9.345,6.8,0.6,Sell,49752,27810720,28.122,0.338,62,Finance
CNNE,34.48,-8.614,-3.25,Buy,8224836,3160305776,2.36,14.949,22482,Finance
CNO,15.6,-4.294,-0.7,Sell,22210805,2210816400,6.381,2.55,3300,Finance
CNOB,13.84,-8.466,-1.28,Sell,2190093,550177368,8.184,1.729,,Finance
CNP,18.86,-6.029,-1.21,Strong Sell,78313131,10275286340,,-1.598,14262,Utilities
CNQ,16.4,-16.624,-3.27,Sell,61737963,19369056000,1042.359,0.018,10180,Energy Minerals
CNR,7.25,-8.92,-0.71,Buy,11349526,906953250,,-3.876,20100,Producer Manufacturing
CNS,54.33,-10.198,-6.17,Sell,1744090,2595746142,22.555,2.523,328,Finance
CNSL,5.655,-27.314,-2.13,Sell,9017179,413141294,17.703,0.325,3400,Communications
CNSP,1.8,-16.279,-0.35,Sell,1124063,29610360,,-0.467,5,Health Technology
CNST,17.62,-16.295,-3.43,Sell,9273224,836950000,,-2.817,106,Health Technology
CNTG,9.68,-16.552,-1.92,Strong Sell,1684600,211617384,,-1.349,442,Commercial Services
CNTY,5.31,-13.659,-0.84,Sell,7992307,157048560,,-2.647,3515,Consumer Services
CNX,10.98,0.182,0.02,Buy,68669861,2058003360,,-3.377,467,Energy Minerals
CNXM,9.65,0.416,0.04,Sell,11174080,866562280,4.426,2.205,,Industrial Services
CNXN,40.52,-8.512,-3.77,Sell,1548728,1058613364,15.722,2.597,2609,Technology Services
CO,3.32,-4.871,-0.17,Sell,1318300,403549320,5.859,0.579,1260,Health Services
COCP,0.9513,-10.255,-0.11,Sell,22091135,63191434,,-1.673,11,Health Technology
CODA,5.57,-17.236,-1.16,Sell,417292,59888083,26.17,0.218,120,Electronic Technology
CODI,17.25,-1.429,-0.25,Sell,3365546,1119525000,,-2.103,4890,Finance
CODX,13.45,23.394,2.55,Buy,91533922,377712315,80.312,0.211,23,Health Technology
COF,68.13,-1.304,-0.9,Sell,48820951,31110610680,,-0.349,51900,Finance
COFS,23,-19.327,-5.51,Sell,551298,179108590,13.058,1.781,,Finance
COG,18.65,-1.687,-0.32,Sell,76697037,7433517000,24.616,0.794,274,Energy Minerals
COHN,19.57,8.541,1.54,Buy,3112965,24398115,,-2.303,94,Finance
COHR,104.81,-6.968,-7.85,Sell,2760240,2542302803,,-17.479,5184,Electronic Technology
COHU,16.65,-3.198,-0.55,Sell,5082498,697017285,,-1.2,3200,Electronic Technology
COKE,230.24,-15.756,-43.06,Sell,492483,2158095238,39.655,6.088,16900,Consumer Non-Durables
COLB,23.11,-17.198,-4.8,Sell,5986920,1655105846,11.475,2.062,2162,Finance
COLL,17.89,-6.139,-1.17,Buy,5198061,617664773,,-0.001,255,Health Technology
COLM,89.99,5.165,4.42,Buy,5534469,5952712514,33.568,2.689,8900,Consumer Non-Durables
COMM,8.61,-16.408,-1.69,Sell,63753457,1694568540,,-5.796,30000,Electronic Technology
CONN,10.67,-16.51,-2.11,Sell,10648228,310865115,,-0.676,4425,Retail Trade
COO,333.63,6.123,19.25,Strong Buy,5903849,17795957652,60.712,5.641,12000,Health Technology
COOP,21,14.598,2.68,Buy,42554010,1932462000,4.276,4.894,9100,Finance
COP,32.92,-13.117,-4.97,Sell,137420727,35309004400,16.833,2.052,10400,Energy Minerals
CORE,27.66,-17.235,-5.76,Sell,4832637,1247253018,21.705,1.315,8555,Distribution Services
CORT,17.06,34.331,4.36,Buy,139970900,1971419480,19.128,0.997,206,Health Technology
COST,344.63,-0.872,-3.03,Buy,36961186,1.52162E+11,41.19,8.406,254000,Retail Trade
COTY,2.92,-18.436,-0.66,Sell,331366748,2234036520,,-1.319,18260,Consumer Non-Durables
COUP,266.11,-18.805,-61.63,Buy,32999045,18321194502,,-1.657,1693,Technology Services
COWN,15.38,-14.981,-2.71,Buy,7167384,425619968,4.374,3.794,1325,Finance
CP,298.64,1.001,2.96,Buy,5252839,40475873760,24.245,12.474,12694,Transportation
CPA,54.32,2.009,1.07,Sell,7690998,2300132870,,-4.821,8877,Transportation
CPAA,10.1575,-4.175,-0.44,Neutral,12346305,571359375,169.486,0.06,2,Finance
CPAH,3.1,-20.716,-0.81,Buy,1022138,19876673,,-0.027,76,Communications
CPB,45.18,-14.123,-7.43,Sell,61402161,13651769520,22.111,2.082,,Consumer Non-Durables
CPE,5.03,-24.133,-1.6,Sell,48724352,199930931,,-3.283,475,Energy Minerals
CPF,12.89,-16.785,-2.6,Sell,3276569,362907638,8.029,1.664,854,Finance
CPG,1.28,-26.857,-0.47,Sell,39172499,678060800,,-5.109,864,Energy Minerals
CPHC,12.615,5.831,0.7,Buy,38991,59406180,74.462,0.172,930,Consumer Services
CPHI,0.3698,-5.228,-0.02,Sell,4789918,16115884,,-0.461,242,Health Technology
CPIX,3.24,0.621,0.02,Sell,205348,49049064,,-0.32,94,Health Technology
CPK,74.5,-8.924,-7.3,Sell,1165710,1228773200,20.237,3.817,955,Utilities
CPLP,6.28,4.667,0.28,Sell,1719624,114158468,4.793,1.321,,Transportation
CPRI,20.08,26.768,4.24,Sell,71780951,3018927600,,-3.018,17006,Retail Trade
CPRT,102.32,-0.968,-1,Buy,27061093,24022484960,35.859,3.004,,Commercial Services
CPRX,3.11,-5.183,-0.17,Sell,25770884,321769930,8.359,0.405,76,Health Technology
CPS,13.29,-26.656,-4.83,Sell,3105876,224554485,,-19.302,28000,Producer Manufacturing
CPSH,1.46,-14.118,-0.24,Neutral,2540908,19412452,25.963,0.057,152,Producer Manufacturing
CPSI,26.03,-4.861,-1.33,Buy,1617309,377749963,16.925,1.476,2000,Technology Services
CPSR,9.85,0.922,0.09,,1166942,,,,,Finance
CPSS,3.28,1.235,0.04,Sell,357002,74472072,5.038,0.693,1010,Finance
CPST,3.8,-7.767,-0.32,Sell,2093495,41890820,,-2.12,112,Producer Manufacturing
CQP,31.9,-11.854,-4.29,Strong Sell,3139445,15440652700,12.247,2.68,1530,Industrial Services
CR,49.69,-12.115,-6.85,Sell,5417474,2883287095,83.699,0.639,13000,Producer Manufacturing
CRAI,38.82,-8.68,-3.69,Sell,486139,303806096,14.166,2.938,779,Commercial Services
CRBP,1.505,-83.791,-7.78,Sell,158205096,122976710,,-1.676,141,Health Technology
CRD.A,6.83,-0.437,-0.03,Sell,896773,363034990,,-0.034,9000,Finance
CRD.B,6.74,-3.161,-0.22,Sell,133352,358251220,,-0.034,9000,Finance
CRDF,11.35,42.947,3.41,Buy,86488505,263636665,,-2.146,14,Health Services
CREE,57.74,-8.494,-5.36,Buy,18944020,6335001840,,-1.776,5130,Electronic Technology
CREG,2.53,1.2,0.03,Sell,5089830,6710977,,,16,Producer Manufacturing
CREX,1.1,-20.29,-0.28,Sell,2204476,11465190,,-1.514,100,Technology Services
CRHM,2.16,-8.861,-0.21,Sell,908993,154450584,,-0.04,395,Health Services
CRI,87.4,9.771,7.78,Sell,10618295,3813707740,35.077,2.555,20300,Retail Trade
CRIS,1.08,-1.818,-0.02,Sell,8331202,58177332,,-0.905,28,Health Technology
CRK,4.77,-17.188,-0.99,Sell,38153616,1109406600,70.622,0.08,207,Energy Minerals
CRL,212.55,-2.923,-6.4,Buy,5818065,10559186430,39.994,5.528,17100,Commercial Services
CRM,235.99,-13.446,-36.66,Buy,133633983,2.14751E+11,97.073,2.611,49000,Technology Services
CRMD,5.28,13.062,0.61,Sell,11907954,164939808,,-0.784,30,Health Technology
CRMT,86.35,-14.08,-14.15,Buy,1268202,590812745,11.105,8.363,1750,Retail Trade
CRNC,48.82,-8.233,-4.38,Strong Buy,13325258,1792797332,27.288,1.876,1400,Technology Services
CRNT,2.31,0.435,0.01,Sell,8161806,187420695,,-0.201,1042,Electronic Technology
CRNX,13.62,-15.034,-2.41,Sell,1500633,447874632,,-2.43,68,Health Technology
CRON,5.05,-9.336,-0.52,Strong Sell,41388544,1766924300,12.219,1.785,633,Process Industries
CROX,42.65,6.865,2.74,Buy,20323090,2877258565,24.573,1.809,3803,Consumer Non-Durables
CRS,18.21,-13.409,-2.82,Sell,7915177,873111228,2542.466,0.024,4600,Non-Energy Minerals
CRSA,10.04,-0.594,-0.06,Sell,3533838,564750000,187.313,0.054,6,Finance
CRSP,84.69,-9.384,-8.77,Buy,11137867,5942866680,190.009,0.614,304,Health Technology
CRSR,14.25,,,,12755638,2403254791,,0.341,1693,Technology Services
CRTD,2.78,-67.256,-5.71,Sell,720351,9229433,,-3.787,25,Technology Services
CRTX,48.31,9.87,4.34,Strong Buy,2760406,1424550787,,-2.034,23,Health Technology
CRUS,59.95,-1.056,-0.64,Sell,11376937,3500654355,21.292,2.977,1443,Electronic Technology
CRVL,82.33,-0.831,-0.69,Buy,871127,1476366259,37.508,2.322,3824,Finance
CRVS,3.89,2.639,0.1,Sell,6627542,109058873,,-1.551,53,Health Technology
CRWD,138.6,10.236,12.87,Neutral,150767434,30415566951,,-0.537,2309,Technology Services
CRWS,5.54,-7.358,-0.44,Buy,390952,56434872,8.349,0.659,138,Consumer Durables
CRY,18.42,-8.902,-1.8,Sell,7303754,697344360,,-0.297,1200,Health Technology
CSBR,8.9,7.488,0.62,Buy,547136,113278310,,,143,Health Technology
CSCO,38.28,-9.332,-3.94,Sell,427830742,1.62056E+11,14.948,2.648,77500,Technology Services
CSGP,821.26,-3.222,-27.34,Buy,3538663,32330624546,103.121,8.187,4337,Technology Services
CSGS,39.99,-6.061,-2.58,Sell,3477453,1323025161,17.269,2.375,4339,Technology Services
CSII,35.72,9.336,3.05,Sell,7057900,1416980252,,-0.788,779,Health Technology
CSIQ,30.275,-6.817,-2.22,Strong Buy,39039650,1797478218,6.951,4.316,13478,Producer Manufacturing
CSL,116.61,-10.951,-14.34,Sell,7054246,6364550478,18.136,6.723,15000,Producer Manufacturing
CSLT,1.06,-23.188,-0.32,Sell,5339423,159669041,,-0.55,463,Technology Services
CSOD,33.87,-3.969,-1.4,Sell,11315947,2179236444,,-0.277,2000,Technology Services
CSPI,8.835,-8.913,-0.86,Sell,37244,37785616,,-0.452,114,Technology Services
CSPR,6.99,-23.018,-2.09,,9400301,280658985,,-3.053,831,Consumer Durables
CSSE,13.74,-8.155,-1.22,Buy,672545,173795859,,-3.927,85,Consumer Services
CSTE,9.53,-13.638,-1.51,Sell,1582957,327841530,92.439,0.106,1501,Non-Energy Minerals
CSTL,50.29,9.972,4.56,Neutral,3710417,989817838,447.346,0.508,133,Health Services
CSTM,7.86,-1.873,-0.15,Sell,18545764,1083972600,,-0.35,13200,Commercial Services
CSTR,9.07,-10.991,-1.12,Sell,703895,198939566,8.8,1.071,289,Finance
CSU,0.6458,-7.756,-0.05,Sell,2496381,20615744,,-2.315,6600,Health Services
CSV,20.81,-6.007,-1.33,Sell,1707702,373204459,68.828,0.298,2797,Consumer Services
CSWC,13.85,-6.165,-0.91,Sell,1153625,257445185,,-1.122,22,Finance
CSWI,74.22,2.727,1.97,Buy,1135043,1092236364,26.44,2.852,730,Process Industries
CSX,76.5,0.052,0.04,Buy,72032270,58526554500,20.963,3.722,21000,Transportation
CTAS,316.71,-4.96,-16.53,Buy,8470628,33427790370,39.991,8.357,40000,Consumer Services
CTB,29.74,-13.972,-4.83,Buy,5305190,1496103414,24.241,1.252,8720,Consumer Durables
CTBI,28.05,-13.077,-4.22,Sell,1098703,499346100,8.753,3.242,1000,Finance
CTEK,0.9969,-24.477,-0.32,Sell,517591,10564149,,-0.713,137,Technology Services
CTG,5.01,4.375,0.21,Buy,328522,76017732,13.081,0.403,3950,Technology Services
CTHR,0.844,22.639,0.16,Sell,5637689,24447051,,-0.215,48,Consumer Durables
CTIB,1.325,-9.864,-0.15,Sell,826509,6318170,,-2.167,380,Process Industries
CTIC,1.05,-5.405,-0.06,Sell,3027471,77402640,,-0.7,25,Health Technology
CTLT,83.9,-9.297,-8.6,Buy,52912438,13802389000,77.119,1.12,13900,Health Technology
CTMX,6.61,-9.452,-0.69,Sell,8559843,305330442,,-1.375,158,Health Technology
CTO,40.4,-4.197,-1.77,Sell,240588,190490848,,-6.055,15,Finance
CTRA,9.1,119.807,4.96,Sell,4207569,166610080,,-26.548,4360,Energy Minerals
CTRM,0.1499,-14.733,-0.03,Sell,162674963,19668679,,,1,Transportation
CTRN,22.86,18.262,3.53,Buy,3539843,243097812,36.492,0.648,5700,Retail Trade
CTS,21.25,1.675,0.35,Sell,3177689,685684375,32.614,0.66,3570,Electronic Technology
CTSH,67.09,0.344,0.23,Buy,51790386,36378948690,23.04,2.962,292500,Technology Services
CTSO,7.79,-7.701,-0.65,Buy,6381528,336200041,,-0.514,153,Health Technology
CTVA,27.46,-3.818,-1.09,Neutral,73084538,20555704740,40.9,0.69,,Process Industries
CTXR,1.03,10.753,0.1,Sell,14932531,47705789,,-0.55,9,Health Technology
CTXS,133.15,-8.299,-12.05,Buy,26277240,16448285800,23.191,6.035,8400,Technology Services
CUB,56.44,19.881,9.36,Buy,12625501,1768208760,,-0.603,6200,Electronic Technology
CUBI,10.57,-17.228,-2.2,Sell,2731883,333108265,5.217,2.106,,Finance
CUE,15.15,-15.221,-2.72,Sell,6657489,446870460,,-1.54,47,Health Technology
CULP,12.7,5.833,0.7,Sell,728539,156182060,,-2.151,1399,Process Industries
CURO,6.6,-14.286,-1.1,Sell,3490743,269841660,2.568,2.741,4000,Finance
CUTR,18.31,11.851,1.94,Sell,3574151,322142478,,-1.86,447,Health Technology
CVA,7.65,-18.962,-1.79,Sell,14780944,1009662300,,-0.144,4000,Industrial Services
CVAC,47.63,-13.526,-7.45,,12664125,8476615840,,,454,Health Technology
CVBF,15.77,-13.399,-2.44,Sell,9876281,2137134630,12.36,1.305,1086,Finance
CVCO,175,-8.334,-15.91,Neutral,861447,1606540250,22.699,7.705,5000,Consumer Durables
CVCY,12.11,0.665,0.08,Sell,519238,151309606,8.13,1.47,288,Finance
CVE,3.86,-18.22,-0.86,Sell,72054760,4743438200,,-1.035,2361,Energy Minerals
CVEO,0.6913,-20.994,-0.18,Sell,4946566,117920571,,-1.002,2450,Consumer Services
CVET,20.51,-10.476,-2.4,Buy,12599550,2314061260,,-8.235,5500,Technology Services
CVGI,4.99,10.643,0.48,Sell,6873782,162898550,,-1.169,7347,Producer Manufacturing
CVGW,66.27,4.412,2.8,Sell,2515405,1170116136,,-0.832,3657,Consumer Non-Durables
CVI,12.57,-24.685,-4.12,Sell,14273193,1263674670,18.641,0.707,1486,Energy Minerals
CVLG,16.11,-12.111,-2.22,Buy,2028969,276031962,,-1.54,5850,Transportation
CVLT,39.83,-7.865,-3.4,Sell,5408705,1847789377,586.032,0.071,2533,Technology Services
CVLY,12.44,-3.566,-0.46,Sell,273412,121757744,13.137,0.97,363,Finance
CVM,12.8,-1.005,-0.13,Buy,10542445,494388480,,-0.816,,Health Technology
CVNA,218.67,1.255,2.71,Buy,39870240,15183263982,,-3.407,7324,Retail Trade
CVR,20.1,-2.047,-0.42,Sell,9320,19416600,,-0.726,217,Producer Manufacturing
